"company_id","transaction_id","close","large_dip","date_published","industry_id","pb_ratio","pc_ratio","pe_ratio","ps_ratio","discount_percentile","institution_held","insider_held","return_on_assets","return_on_equity","total_debt_equity","current_ratio","market_cap","recovered"
68,2165930,4.16,t,"2018-10-30 00:00:00",31,0.615384615384615,8.15686274509804,-59.4285714285714,2.5521472392638,0.258196721311475,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,f
68,2405339,4.66,t,"2018-08-14 00:00:00",31,0.689349112426036,9.13725490196078,-66.5714285714286,2.85889570552147,0.360655737704918,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,f
68,2418171,4.83,t,"2018-08-10 00:00:00",31,0.714497041420118,9.47058823529412,-69,2.96319018404908,0.395491803278688,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,f
68,3098834,6.48,t,"2019-09-10 00:00:00",31,0.958579881656805,12.7058823529412,-92.5714285714286,3.97546012269939,0.733606557377049,65.56,0.27,1.14,-0.9,0.08,2.9,2700000000,f
72,2179943,50.07,t,"2018-10-25 00:00:00",41,1.24676294820717,13.6430517711172,10.43125,0.420085577649132,0.0183044315992293,88.19,17.45,4.25,12.22,65.97,1.29,5630000000,t
72,2866221,69.87,t,"2019-08-06 00:00:00",41,1.73979083665339,19.0381471389646,14.55625,0.586206896551724,0.654142581888247,88.19,17.45,4.25,12.22,65.97,1.29,5630000000,t
72,2926885,64.14,t,"2019-08-15 00:00:00",41,1.59711155378486,17.4768392370572,13.3625,0.538132393657186,0.470134874759152,88.19,17.45,4.25,12.22,65.97,1.29,5630000000,t
75,1550871,122.4,t,"2019-05-31 00:00:00",42,0.672564426616847,20.3322259136213,-4.8,2.6037013401404,0.0982714855554214,88.91,0.3,0.64,-12.97,38.93,1.03,52950000000,t
75,1900200,143.9,t,"2019-01-31 00:00:00",42,0.790702785867355,23.9036544850498,-5.64313725490196,3.06105084024676,0.358153027922157,88.91,0.3,0.64,-12.97,38.93,1.03,52950000000,f
75,2160966,160.7,t,"2018-10-31 00:00:00",42,0.883015550304962,26.6943521594684,-6.30196078431373,3.41842161242289,0.561223256376163,88.91,0.3,0.64,-12.97,38.93,1.03,52950000000,f
